               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11531,            0.038924,            0.064802,            0.003122,             0.20529,           0.0024675,          0.00068016,              0.1008,            0.035144,            0.051591,                0.01,                0.01,                0.01
                   1,            0.090129,            0.049639,            0.048101,            0.048002,             0.15601,            0.046666,            0.011913,             0.07869,            0.037103,            0.037449,            0.009901,            0.009901,            0.009901
                   2,            0.080203,            0.048538,            0.040737,             0.63484,             0.10488,            0.067998,            0.021549,             0.07347,            0.035633,            0.031882,            0.009802,            0.009802,            0.009802
                   3,            0.074725,            0.048918,            0.037963,             0.35053,             0.20056,            0.094902,            0.029148,            0.069888,            0.034297,            0.028464,            0.009703,            0.009703,            0.009703
                   4,            0.070293,            0.048797,            0.035353,             0.45546,             0.21188,             0.15147,            0.051927,             0.06464,            0.035275,            0.026333,            0.009604,            0.009604,            0.009604
                   5,            0.066957,            0.047923,            0.032733,             0.42785,             0.22154,             0.16416,            0.059191,            0.063248,            0.034821,            0.025091,            0.009505,            0.009505,            0.009505
                   6,            0.064007,            0.047751,            0.031762,             0.54319,             0.21069,             0.21255,            0.083838,            0.061333,            0.033823,            0.021727,            0.009406,            0.009406,            0.009406
                   7,            0.063146,            0.049344,            0.030516,             0.45722,             0.25429,             0.20455,            0.080769,            0.062746,            0.033173,            0.022816,            0.009307,            0.009307,            0.009307
                   8,            0.061783,             0.04884,            0.028949,             0.45879,             0.27874,             0.21666,            0.089719,            0.059564,            0.034181,            0.021851,            0.009208,            0.009208,            0.009208
                   9,            0.062133,            0.051197,            0.027443,             0.46944,             0.27015,             0.22741,            0.084263,             0.05987,             0.03439,            0.020118,            0.009109,            0.009109,            0.009109
                  10,            0.061052,            0.049258,            0.027451,             0.53175,             0.26511,             0.24585,              0.1045,            0.057852,            0.033565,             0.01966,             0.00901,             0.00901,             0.00901
                  11,            0.059051,            0.048688,            0.027002,             0.50636,             0.28141,             0.23182,            0.092943,            0.059145,            0.033565,            0.019957,            0.008911,            0.008911,            0.008911
                  12,            0.058451,            0.049256,            0.025798,             0.53981,             0.26975,             0.25052,             0.10431,            0.058379,             0.03393,            0.021315,            0.008812,            0.008812,            0.008812
                  13,             0.05847,            0.049058,            0.025782,             0.52085,             0.28422,             0.24331,            0.099646,             0.05813,             0.03388,            0.019156,            0.008713,            0.008713,            0.008713
                  14,            0.057824,            0.048633,            0.025087,             0.52981,             0.31802,             0.26416,             0.10719,            0.057667,            0.034284,            0.018193,            0.008614,            0.008614,            0.008614
                  15,            0.056766,            0.047875,            0.024241,             0.55399,             0.29349,             0.27024,             0.12267,            0.056742,            0.033796,            0.018023,            0.008515,            0.008515,            0.008515
